date,station,station_name,tmax_f,tmin_f,tavg_f,precip_in,snow_in,wind_avg_mph,wind_gust_mph,visibility_mi,weather_condition,is_precipitation,is_snow,is_fog,is_severe
2024-02-02,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,47.3,39.8,43.6,0.0,0.0,11.6,19.4,7.7,Clear,0,0,0,0
2024-02-03,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,47.4,31.8,39.6,0.0,0.0,13.5,21.8,9.9,Clear,0,0,0,0
2024-02-04,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,54.9,40.9,47.9,0.12,0.0,10.4,16.5,4.3,Drizzle,1,0,0,0
2024-02-05,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,57.0,39.0,48.0,1.4,0.0,9.6,14.6,3.1,Rain,1,0,0,0
2024-02-06,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,60.9,32.1,46.5,0.0,0.0,9.5,15.6,8.6,Clear,0,0,0,0
2024-02-07,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,53.2,45.9,49.5,0.0,0.0,9.7,11.8,8.1,Clear,0,0,0,0
2024-02-08,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,47.0,29.3,38.2,0.0,0.0,12.4,20.7,7.6,Clear,0,0,0,0
2024-02-09,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,50.7,42.1,46.4,0.41,0.0,10.4,16.6,5.8,Rain,1,0,0,0
2024-02-10,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,39.2,33.4,36.3,0.0,0.0,13.5,17.1,7.2,Clear,0,0,0,0
2024-02-11,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,59.8,32.8,46.3,0.0,0.0,10.8,13.6,9.5,Clear,0,0,0,0
2024-02-12,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,52.3,31.5,41.9,0.57,0.0,13.9,17.5,3.6,Rain,1,0,0,0
2024-02-13,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,40.6,38.0,39.3,0.0,0.0,13.4,18.0,9.5,Clear,0,0,0,0
2024-02-14,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,47.9,32.1,40.0,0.0,0.0,13.6,20.8,9.6,Clear,0,0,0,0
2024-02-15,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,60.9,32.6,46.7,0.42,0.0,7.6,10.1,5.2,Rain,1,0,0,0
2024-02-16,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,59.7,35.8,47.7,0.14,0.0,9.0,12.8,3.0,Drizzle,1,0,0,0
2024-02-17,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,55.2,31.8,43.5,0.0,0.0,13.8,16.9,8.7,Clear,0,0,0,0
2024-02-18,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,55.2,33.3,44.3,0.0,0.0,9.1,11.3,9.8,Clear,0,0,0,0
2024-02-19,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,52.3,33.8,43.1,0.05,0.0,4.7,7.4,4.1,Drizzle,1,0,0,0
2024-02-20,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,53.9,36.5,45.2,0.35,0.0,11.4,17.0,2.0,Drizzle,1,0,0,0
2024-02-21,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,43.6,40.0,41.8,0.0,0.0,10.5,16.7,9.0,Clear,0,0,0,0
2024-02-22,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,47.8,29.5,38.7,0.0,0.0,8.2,13.3,8.6,Clear,0,0,0,0
2024-02-23,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,48.3,29.0,38.6,0.01,0.0,19.8,33.2,4.9,Drizzle,1,0,0,0
2024-02-24,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,51.8,38.9,45.4,0.0,0.0,10.6,15.6,7.9,Clear,0,0,0,0
2024-02-25,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,56.6,37.3,47.0,0.0,0.0,12.0,17.3,8.2,Clear,0,0,0,0
2024-02-26,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,50.9,32.6,41.8,0.11,0.0,9.9,15.5,3.4,Drizzle,1,0,0,0
2024-02-27,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,54.3,31.4,42.8,0.0,0.0,15.1,23.8,8.2,Clear,0,0,0,0
2024-02-28,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,49.5,35.6,42.6,1.33,0.0,13.9,20.8,7.0,Rain,1,0,0,0
2024-02-29,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,50.0,33.3,41.7,0.0,0.0,5.9,9.3,9.5,Clear,0,0,0,0
2024-03-01,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,65.8,31.2,48.5,0.0,0.0,12.2,15.1,9.5,Clear,0,0,0,0
2024-03-02,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,54.9,45.5,50.2,0.0,0.0,10.2,17.9,9.3,Clear,0,0,0,0
2024-03-03,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,67.0,38.3,52.6,0.0,0.0,9.5,16.2,7.1,Clear,0,0,0,0
2024-03-04,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,65.8,47.3,56.5,0.0,0.0,9.7,11.7,7.5,Clear,0,0,0,0
2024-03-05,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,62.1,41.7,51.9,0.0,0.0,13.8,17.9,9.3,Clear,0,0,0,0
2024-03-06,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,59.6,42.2,50.9,0.0,0.0,11.4,17.2,8.1,Clear,0,0,0,0
2024-03-07,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,57.7,40.7,49.2,0.0,0.0,13.1,21.7,8.3,Clear,0,0,0,0
2024-03-08,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,54.1,42.9,48.5,0.51,0.0,8.3,10.0,3.0,Rain,1,0,0,0
2024-03-09,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,63.7,39.7,51.7,0.0,0.0,13.4,16.7,7.4,Clear,0,0,0,0
2024-03-10,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,64.1,41.0,52.6,0.0,0.0,10.2,15.1,7.5,Clear,0,0,0,0
2024-03-11,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,62.9,39.5,51.2,0.0,0.0,9.1,15.0,9.0,Clear,0,0,0,0
2024-03-12,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,64.4,41.6,53.0,0.0,0.0,9.0,14.6,8.9,Clear,0,0,0,0
2024-03-13,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,60.6,48.9,54.8,0.01,0.0,15.9,25.6,3.0,Drizzle,1,0,0,0
2024-03-14,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,58.1,45.0,51.5,0.0,0.0,8.7,12.8,8.2,Clear,0,0,0,0
2024-03-15,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,57.7,40.5,49.1,0.08,0.0,12.8,15.9,5.2,Drizzle,1,0,0,0
2024-03-16,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,62.4,35.6,49.0,0.04,0.0,12.1,19.0,4.0,Drizzle,1,0,0,0
2024-03-17,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,53.1,45.8,49.4,0.0,0.0,9.7,15.0,8.0,Clear,0,0,0,0
2024-03-18,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,63.4,44.5,53.9,0.0,0.0,9.4,16.7,8.8,Clear,0,0,0,0
2024-03-19,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,54.6,44.3,49.4,0.0,0.0,10.6,18.4,9.1,Clear,0,0,0,0
2024-03-20,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,63.7,41.0,52.4,0.0,0.0,13.7,24.3,9.8,Clear,0,0,0,0
2024-03-21,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,61.6,37.5,49.6,0.0,0.0,15.1,18.3,8.0,Clear,0,0,0,0
2024-03-22,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,64.3,36.0,50.2,0.0,0.0,9.2,13.9,8.3,Clear,0,0,0,0
2024-03-23,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,65.7,44.1,54.9,0.0,0.0,11.1,14.6,7.3,Clear,0,0,0,0
2024-03-24,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,66.4,35.4,50.9,0.29,0.0,11.1,19.0,5.2,Drizzle,1,0,0,0
2024-03-25,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,58.2,39.4,48.8,0.13,0.0,15.5,25.8,3.3,Drizzle,1,0,0,0
2024-03-26,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,55.0,40.5,47.7,0.0,0.0,8.4,13.9,8.3,Clear,0,0,0,0
2024-03-27,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,53.9,43.2,48.5,0.0,0.0,14.0,23.8,9.5,Clear,0,0,0,0
2024-03-28,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,61.3,43.4,52.3,0.02,0.0,12.9,22.0,5.8,Drizzle,1,0,0,0
2024-03-29,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,61.0,42.0,51.5,1.53,0.0,12.5,18.9,4.8,Rain,1,0,0,0
2024-03-30,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,70.5,42.6,56.5,0.53,0.0,13.6,22.5,3.4,Rain,1,0,0,0
2024-03-31,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,59.8,43.3,51.5,0.0,0.0,8.2,14.5,8.0,Clear,0,0,0,0
2024-04-01,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,68.9,51.7,60.3,0.34,0.0,14.4,24.8,5.1,Drizzle,1,0,0,0
2024-04-02,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,65.2,43.0,54.1,0.0,0.0,14.6,20.6,7.5,Clear,0,0,0,0
2024-04-03,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,66.9,51.2,59.0,0.0,0.0,14.2,17.3,9.5,Clear,0,0,0,0
2024-04-04,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,78.2,49.4,63.8,0.0,0.0,11.8,14.5,9.7,Clear,0,0,0,0
2024-04-05,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,74.8,48.0,61.4,0.0,0.0,10.2,13.6,9.4,Clear,0,0,0,0
2024-04-06,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,73.3,45.1,59.2,0.07,0.0,11.7,15.3,6.3,Drizzle,1,0,0,0
2024-04-07,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,76.1,48.7,62.4,0.0,0.0,11.7,17.1,8.2,Clear,0,0,0,0
2024-04-08,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,72.9,51.3,62.1,0.0,0.0,10.2,17.3,10.0,Clear,0,0,0,0
2024-04-09,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,63.6,50.5,57.0,0.0,0.0,7.8,11.7,9.7,Clear,0,0,0,0
2024-04-10,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,70.5,54.6,62.5,0.12,0.0,13.4,23.0,2.5,Drizzle,1,0,0,0
2024-04-11,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,73.9,48.9,61.4,0.0,0.0,9.6,12.8,7.2,Clear,0,0,0,0
2024-04-12,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,78.2,47.9,63.0,0.32,0.0,9.1,11.3,3.5,Drizzle,1,0,0,0
2024-04-13,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,70.5,49.3,59.9,0.0,0.0,14.7,22.2,9.6,Clear,0,0,0,0
2024-04-14,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,64.9,46.7,55.8,0.51,0.0,15.0,18.3,1.9,Rain,1,0,0,0
2024-04-15,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,64.2,48.7,56.5,0.0,0.0,11.9,16.9,7.9,Clear,0,0,0,0
2024-04-16,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,68.3,49.2,58.8,0.0,0.0,14.9,21.5,9.2,Clear,0,0,0,0
2024-04-17,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,69.6,54.1,61.8,0.01,0.0,12.6,19.8,2.9,Drizzle,1,0,0,0
2024-04-18,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,64.5,43.3,53.9,0.0,0.0,10.1,15.8,9.8,Clear,0,0,0,0
2024-04-19,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,64.5,55.3,59.9,0.0,0.0,7.4,11.1,8.1,Clear,0,0,0,0
2024-04-20,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,71.8,54.3,63.0,0.0,0.0,15.0,20.7,7.6,Clear,0,0,0,0
2024-04-21,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,69.1,54.2,61.7,0.15,0.0,10.7,18.6,5.6,Drizzle,1,0,0,0
2024-04-22,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,61.5,45.0,53.2,1.52,0.0,16.7,21.3,3.3,Rain,1,0,0,0
2024-04-23,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,65.6,50.4,58.0,0.84,0.0,12.4,19.5,6.8,Rain,1,0,0,0
2024-04-24,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,68.3,60.5,64.4,0.0,0.0,12.9,22.1,7.1,Clear,0,0,0,0
2024-04-25,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,66.8,55.0,60.9,0.0,0.0,13.9,18.8,7.7,Clear,0,0,0,0
2024-04-26,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,61.9,45.5,53.7,0.41,0.0,5.8,9.0,4.8,Rain,1,0,0,0
2024-04-27,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,74.2,52.9,63.5,0.0,0.0,8.8,15.7,9.3,Clear,0,0,0,0
2024-04-28,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,78.4,43.2,60.8,0.0,0.0,17.9,30.4,9.9,Clear,0,0,0,0
2024-04-29,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,76.5,48.0,62.3,0.0,0.0,16.1,28.3,9.7,Clear,0,0,0,0
2024-04-30,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,67.5,54.9,61.2,0.0,0.0,10.2,15.1,9.3,Clear,0,0,0,0
2024-05-01,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,82.8,57.8,70.3,0.0,0.0,11.5,19.2,8.1,Clear,0,0,0,0
2024-05-02,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,80.4,59.5,70.0,0.31,0.0,9.7,15.4,5.9,Drizzle,1,0,0,0
2024-05-03,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,73.9,66.0,70.0,0.0,0.0,13.7,19.5,7.3,Clear,0,0,0,0
2024-05-04,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,74.9,58.1,66.5,0.48,0.0,13.5,17.0,6.4,Rain,1,0,0,0
2024-05-05,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,78.7,62.9,70.8,0.0,0.0,9.1,15.7,7.7,Clear,0,0,0,0
2024-05-06,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,77.1,57.6,67.3,0.25,0.0,9.7,12.7,1.6,Drizzle,1,0,0,0
2024-05-07,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,78.6,54.3,66.4,0.02,0.0,6.5,11.3,1.7,Drizzle,1,0,0,0
2024-05-08,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,82.9,57.3,70.1,0.0,0.0,14.2,20.6,8.1,Clear,0,0,0,0
2024-05-09,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,83.7,57.2,70.5,0.0,0.0,12.2,20.4,7.4,Clear,0,0,0,0
2024-05-10,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,76.5,57.3,66.9,0.0,0.0,13.9,22.6,8.4,Clear,0,0,0,0
2024-05-11,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,77.0,64.8,70.9,0.0,0.0,9.2,14.7,7.8,Clear,0,0,0,0
2024-05-12,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,82.9,61.5,72.2,0.0,0.0,13.2,19.5,9.8,Clear,0,0,0,0
2024-05-13,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,76.1,63.8,70.0,0.0,0.0,11.6,14.9,9.9,Clear,0,0,0,0
2024-05-14,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,77.3,61.3,69.3,0.0,0.0,14.8,20.8,9.1,Clear,0,0,0,0
2024-05-15,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,80.3,57.0,68.7,0.0,0.0,11.3,16.3,9.8,Clear,0,0,0,0
2024-05-16,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,70.4,61.4,65.9,0.0,0.0,14.0,24.1,9.1,Clear,0,0,0,0
2024-05-17,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,84.2,55.4,69.8,0.0,0.0,13.9,22.9,7.6,Clear,0,0,0,0
2024-05-18,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,80.6,64.1,72.3,0.0,0.0,9.4,13.9,9.1,Clear,0,0,0,0
2024-05-19,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,82.2,63.6,72.9,0.09,0.0,10.8,16.1,1.7,Drizzle,1,0,0,0
2024-05-20,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,83.9,57.9,70.9,0.66,0.0,12.6,17.9,1.6,Rain,1,0,0,0
2024-05-21,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,60.3,60.0,60.2,0.0,0.0,11.7,15.2,9.7,Clear,0,0,0,0
2024-05-22,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,74.8,65.2,70.0,0.0,0.0,11.3,13.7,9.6,Clear,0,0,0,0
2024-05-23,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,75.0,57.9,66.4,0.0,0.0,10.2,16.9,9.5,Clear,0,0,0,0
2024-05-24,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,81.9,62.3,72.1,0.8,0.0,10.3,16.1,4.3,Rain,1,0,0,0
2024-05-25,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,77.2,65.3,71.2,0.0,0.0,12.7,16.8,9.0,Clear,0,0,0,0
2024-05-26,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,76.8,57.6,67.2,0.03,0.0,7.7,13.3,3.2,Drizzle,1,0,0,0
2024-05-27,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,81.9,67.7,74.8,0.26,0.0,14.5,23.5,5.3,Drizzle,1,0,0,0
2024-05-28,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,79.2,53.1,66.2,0.0,0.0,12.0,15.0,7.9,Clear,0,0,0,0
2024-05-29,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,79.4,64.4,71.9,0.0,0.0,11.9,19.8,9.6,Clear,0,0,0,0
2024-05-30,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,78.3,62.0,70.1,0.09,0.0,9.0,14.1,5.6,Drizzle,1,0,0,0
2024-05-31,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,71.2,57.8,64.5,0.51,0.0,10.4,12.9,2.6,Rain,1,0,0,0
2024-06-01,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,83.6,73.4,78.5,0.0,0.0,6.0,10.7,9.0,Clear,0,0,0,0
2024-06-02,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,85.1,67.4,76.2,0.0,0.0,9.6,13.9,7.8,Clear,0,0,0,0
2024-06-03,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,90.5,78.7,84.6,0.0,0.0,9.6,15.2,7.6,Clear,0,0,0,0
2024-06-04,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,84.4,68.5,76.4,0.0,0.0,9.7,15.7,9.1,Clear,0,0,0,0
2024-06-05,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,89.4,71.6,80.5,0.0,0.0,7.5,13.0,7.3,Clear,0,0,0,0
2024-06-06,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,83.0,69.4,76.2,0.38,0.0,8.7,12.3,3.8,Drizzle,1,0,0,0
2024-06-07,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,76.0,74.1,75.1,0.03,0.0,6.9,10.3,3.4,Drizzle,1,0,0,0
2024-06-08,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,91.2,68.8,80.0,0.0,0.0,8.4,13.9,7.6,Clear,0,0,0,0
2024-06-09,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,82.2,64.1,73.1,0.0,0.0,10.9,16.4,9.3,Clear,0,0,0,0
2024-06-10,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,87.3,69.9,78.6,0.0,0.0,12.4,17.3,9.0,Clear,0,0,0,0
2024-06-11,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,89.8,69.9,79.9,0.0,0.0,7.6,11.7,8.5,Clear,0,0,0,0
2024-06-12,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,86.3,63.7,75.0,0.0,0.0,12.9,19.9,7.2,Clear,0,0,0,0
2024-06-13,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,81.2,64.5,72.8,0.0,0.0,11.9,15.0,7.3,Clear,0,0,0,0
2024-06-14,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,79.3,63.0,71.2,0.04,0.0,6.0,10.7,3.8,Drizzle,1,0,0,0
2024-06-15,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,85.7,72.1,78.9,0.0,0.0,9.5,16.2,7.4,Clear,0,0,0,0
2024-06-16,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,88.5,74.7,81.6,0.0,0.0,9.3,14.7,7.8,Clear,0,0,0,0
2024-06-17,GHCND:USW00013737,NORFOLK INTL AIRPORT VA US,86.6,64.8,75.7,0.01,0.0,8.6,11.2,1.7,Drizzle,1,0,0,0
